"","movieID","title","imdbID","spanishTitle","imdbPictureURL","year","rtID","rtPictureURL","allrating","toprating","audrating","allscore","topscore","audscore","allnum","topnum","audnum","allnumfresh","topnumfresh","allnumrotten","topnumrotten","overall.rating"
"1",27674,"11:14",331811,"11:14","http://ia.media-imdb.com/images/M/MV5BMjEwODEyOTIyOF5BMl5BanBnXkFtZTcwNzQ4NjEzMQ@@._V1._SY314_CR0,0,214,314_.jpg",2003,"1114","http://content8.flixster.com/movie/58/27/59/5827590_det.jpg",6.8,0,3.6,100,100,75,11,1,6342,11,1,0,0,0.438822479617451
"2",52767,"21",75610,"21","http://ia.media-imdb.com/images/M/MV5BMTM3MTA3NzQ2N15BMl5BanBnXkFtZTcwNjM5NzYyMQ@@._V1._SY314_CR23,0,214,314_.jpg",1977,"21_up","http://content8.flixster.com/movie/10/89/43/10894342_det.jpg",0,0,0,100,0,0,1,0,0,1,0,0,0,-0.486426658843744
"3",58803,"21",478087,"21: Black Jack","http://ia.media-imdb.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1._SY314_CR5,0,214,314_.jpg",2008,"10009192-21","http://content6.flixster.com/movie/10/88/67/10886752_det.jpg",5.2,4.9,3.7,35,25,73,161,31,112101,57,8,104,23,0.241696221487703
"4",2188,"54",120577,"54","http://ia.media-imdb.com/images/M/MV5BMTY3NDI0NjUyOF5BMl5BanBnXkFtZTcwMzM0NDMzMQ@@._V1._SY314_CR1,0,214,314_.jpg",1998,"54","http://content6.flixster.com/movie/27/08/270804_det.jpg",4.1,3.4,2.8,12,7,45,62,14,4129,8,1,54,13,-0.149652857393965
"5",51662,"300",416449,"300","http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1._SX214_CR0,0,214,314_.jpg",2006,"300","http://content7.flixster.com/movie/28/60/90/2860905_det.jpg",6.1,5.6,4.1,59,46,90,223,41,476879,133,19,90,22,0.486145723354646
"6",53953,"1408",450385,"1408","http://ia.media-imdb.com/images/M/MV5BMTk1MDg0NTU0OV5BMl5BanBnXkFtZTcwMTM1NDk0MQ@@._V1._SX214_CR0,0,214,314_.jpg",2007,"1408","http://content9.flixster.com/movie/85/59/06/8559063_det.jpg",6.7,6.7,3.4,78,78,61,165,32,349462,129,25,36,7,0.554877768304355
"7",5472,"1776",68156,"1776","http://ia.media-imdb.com/images/M/MV5BMTI5MDQxNjg0MF5BMl5BanBnXkFtZTcwNDYwNzMyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1972,"1776","http://content6.flixster.com/movie/10/88/57/10885736_det.jpg",6.8,0,3.8,57,0,80,14,1,2415,8,0,6,1,0.0680230166639133
"8",7104,"1941",78723,"1941","http://ia.media-imdb.com/images/M/MV5BMTk1NDE3Njc0MF5BMl5BanBnXkFtZTcwNTkxNDYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1979,"1941","http://content8.flixster.com/movie/25/85/258518_det.jpg",5.2,0,3,33,0,48,21,1,5333,7,0,14,1,-0.165444206635308
"9",2311,"2010",86837,"2010, odisea dos","http://ia.media-imdb.com/images/M/MV5BMTQyMjAwOTA5MV5BMl5BanBnXkFtZTcwOTg3NzcyMQ@@._V1._SY314_CR8,0,214,314_.jpg",1984,"2010_the_year_we_make_contact","http://content7.flixster.com/movie/10/92/01/10920113_det.jpg",5.7,0,3.2,64,100,58,25,2,5956,16,2,9,0,0.247856028024049
"10",27266,"2046",212712,"2046","http://ia.media-imdb.com/images/M/MV5BMzY1MjkzNDY4MF5BMl5BanBnXkFtZTcwMzE1NzAzMQ@@._V1._SX214_CR0,0,214,314_.jpg",2004,"2046","http://content7.flixster.com/movie/24/99/249909_det.jpg",7.4,7.3,3.9,83,83,84,106,30,14211,89,25,17,5,0.685036195238577
"11",8169,"*batteries not included",92494,"Nuestros maravillosos aliados","http://ia.media-imdb.com/images/M/MV5BOTM0NDY1NTQ4M15BMl5BanBnXkFtZTcwNTQzMDEyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1987,"batteries_not_included","http://content6.flixster.com/movie/25/55/255524_det.jpg",5.6,0,3.2,61,100,61,13,2,9550,8,2,5,0,0.229683986387801
"12",3420,"...And Justice for All.",78718,"Justicia para todos","http://ia.media-imdb.com/images/M/MV5BNjE2OTgxMDU1N15BMl5BanBnXkFtZTcwOTg2ODAyMQ@@._V1._SY314_CR4,0,214,314_.jpg",1979,"and_justice_for_all","http://content6.flixster.com/movie/27/15/271520_det.jpg",6.9,0,3.5,94,100,76,19,2,3756,18,2,1,0,0.449061606907334
"13",57274,"[Rec]",1038988,"[Rec]","http://ia.media-imdb.com/images/M/MV5BMTcxNzI1NjY1N15BMl5BanBnXkFtZTcwODczOTM2Mg@@._V1._SY314_CR2,0,214,314_.jpg",2007,"10009132-rec","http://content6.flixster.com/movie/10/52/28/10522876_det.jpg",7.8,0,3.8,95,0,77,23,1,30174,22,0,1,1,0.275476383226351
"14",6673,"¡Ay, Carmela!",101025,"¡Ay, Carmela!","http://ia.media-imdb.com/images/M/MV5BMTU0NjAyNjg5NF5BMl5BanBnXkFtZTcwNDYxOTI0MQ@@._V1._SY314_CR4,0,214,314_.jpg",1990,"ay_carmela","http://content6.flixster.com/movie/10/84/10/10841000_det.jpg",0,0,0,50,0,0,2,0,0,1,0,1,0,-0.620257290188163
"15",2478,"¡Three Amigos!",92086,"Tres amigos","http://ia.media-imdb.com/images/M/MV5BMTgwMDI3MDAzM15BMl5BanBnXkFtZTYwOTM3Mjg5._V1._SX214_CR0,0,214,314_.jpg",1986,"1021312-three_amigos","http://content7.flixster.com/movie/25/45/254593_det.jpg",5.2,0,3.1,52,0,65,17,1,12978,9,0,8,1,-0.0516345889277108
"16",26527,"¿Qué he hecho yo para merecer esto!!",88461,"¿Qué he hecho yo para merecer esto!!","http://ia.media-imdb.com/images/M/MV5BNDQ5ODA4MzIwOV5BMl5BanBnXkFtZTcwNTE5MTcyMQ@@._V1._SY314_CR2,0,214,314_.jpg",1984,"what_have_i_done_to_deserve_this","http://content6.flixster.com/movie/10/89/23/10892300_det.jpg",7.6,0,3.8,100,100,80,6,1,1849,6,1,0,0,0.451561891463169
"17",7699,"¿Quién diablos es Juliette?",126627,"¿Quién diablos es Juliette?","http://ia.media-imdb.com/images/M/MV5BMTgyMjM2NTM4MV5BMl5BanBnXkFtZTcwNjYxMTQyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1997,"who_the_hell_is_juliette","http://content6.flixster.com/movie/10/91/39/10913900_det.jpg",6.4,0,3.4,66,100,58,6,1,65,4,1,2,0,0.204792124493329
